team_size,duration_months,budget_usd,requirements_clarity,client_involvement,tech_complexity,risk_encoded,type_encoded,budget_per_person,complexity_risk,team_experience,regulatory_compliance,geographic_distribution,team_efficiency,project_complexity_index,budget_efficiency,experience_complexity_ratio,involvement_clarity_product,sdlc,effort_person_months,cost_usd
21,41,5113731.93,4,1,4,2,3,243511.0443,8,3,1,3,1.5365853658536586,15.619047619047619,5939.293763066202,0.75,4,Waterfall,1191.31,6041127.05
24,33,5150398.19,5,2,2,2,1,214599.9246,4,3,1,3,2.1818181818181817,5.5,6503.028017676768,1.5,10,Waterfall,662.16,5234105.48
53,23,11509257.0,4,2,3,2,4,217155.7925,6,2,0,3,4.608695652173913,2.6037735849056602,9441.556193601313,0.6666666666666666,8,SAFe,1572.63,14478239.77
21,20,1724481.22,1,1,3,1,3,82118.1533,3,3,0,1,3.15,2.857142857142857,4105.907666666667,1.0,1,Iterative,356.8,1795354.04
15,12,374655.26,4,5,4,3,4,24977.0173,12,5,0,2,6.25,9.6,2081.418111111111,1.25,20,Scrum,175.34,438997.55
7,4,69759.31,2,4,4,1,1,9965.6157,4,2,0,2,3.5,2.2857142857142856,2491.4039285714284,0.5,8,Kanban,24.89,80281.95
28,30,3092470.53,4,3,4,2,2,110445.3761,8,2,0,1,1.8666666666666667,8.571428571428571,3681.5125357142856,0.5,12,Waterfall,778.48,3650245.63
8,5,179660.74,2,4,2,3,1,22457.5925,6,3,0,2,4.8,3.75,4491.5185,1.5,8,Scrum,36.59,204721.41
19,46,6753431.48,2,2,3,3,4,355443.7621,9,5,1,3,2.0652173913043477,21.789473684210527,7727.038306636156,1.6666666666666667,4,Spiral,774.83,8588860.76
15,15,1164770.52,5,4,4,1,4,77651.368,4,5,1,2,5.0,4.0,5176.757866666667,1.25,20,Agile,160.5,1259206.6
24,19,2184159.96,4,1,3,1,4,91006.665,3,3,0,2,3.789473684210526,2.375,4789.824473684211,1.0,4,Waterfall,409.67,2446175.59
6,4,31344.47,4,5,3,2,2,5224.0783,6,2,1,2,3.0,4.0,1306.0195833333335,0.6666666666666666,20,Kanban,25.71,41213.23
17,23,1104922.44,4,1,2,3,2,64995.4376,6,5,0,3,3.6956521739130435,8.117647058823529,2825.8885933503834,2.5,4,Iterative,316.99,1416717.85
18,27,1776915.08,5,2,5,1,4,98717.5044,5,2,1,1,1.3333333333333333,7.5,3656.2038683127575,0.4,10,V-Model,525.02,2255938.25
10,8,167646.14,3,4,4,2,4,16764.614,8,3,0,1,3.75,6.4,2095.57675,0.75,12,Scrum,74.52,205251.74
13,4,170529.73,4,3,1,3,1,13117.6715,3,4,0,1,13.0,0.9230769230769231,3279.417884615385,4.0,12,Scrum,33.42,206888.22
67,18,4961979.85,3,2,3,3,4,74059.4007,9,2,0,3,7.444444444444445,2.417910447761194,4114.41115257048,0.6666666666666666,6,SAFe,1815.09,6699549.94
10,12,469491.7,3,5,1,1,3,46949.17,1,4,0,2,3.3333333333333335,1.2,3912.4308333333333,4.0,15,Scrum,87.82,551612.7
19,22,1617756.34,2,3,4,3,3,85145.0705,12,1,0,2,0.8636363636363636,13.894736842105264,3870.2304784689,0.25,6,Agile,728.25,1838610.63
16,42,4315534.11,4,3,3,3,4,269720.8819,9,1,0,2,0.38095238095238093,23.625,6421.925758928572,0.3333333333333333,12,Spiral,992.56,4790241.11
29,16,2391236.15,5,3,3,1,4,82456.419,3,4,0,2,7.25,1.6551724137931034,5153.526185344827,1.3333333333333333,15,Waterfall,348.85,2760677.3
8,17,915728.04,4,2,4,2,3,114466.005,8,1,1,3,0.47058823529411764,17.0,6733.294411764706,0.25,8,V-Model,251.83,1068858.19
22,30,2126509.23,5,1,4,1,2,96659.5105,4,5,0,2,3.6666666666666665,5.454545454545454,3221.9836818181816,1.25,5,Waterfall,455.58,2648236.77
4,3,18492.44,5,2,1,1,4,4623.11,1,3,0,2,4.0,0.75,1541.0366666666666,3.0,10,RAD,8.76,21132.41
17,27,2605916.1,2,1,5,3,3,153289.1824,15,4,1,3,2.5185185185185186,23.823529411764707,5677.377124183006,0.8,2,Spiral,684.27,3139682.91
11,8,265340.44,2,5,2,2,3,24121.8582,4,3,1,3,4.125,2.909090909090909,3015.2322727272726,1.5,10,Scrum,97.17,322084.6
32,45,5702936.81,1,1,4,2,4,178216.7753,8,3,1,2,2.1333333333333333,11.25,3960.372784722222,0.75,1,Spiral,1607.88,7224260.03
41,34,5841361.32,1,2,3,2,3,142472.2273,6,5,1,2,6.029411764705882,4.975609756097561,4190.35962697274,1.6666666666666667,2,Spiral,1119.88,8255695.33
17,13,651079.26,2,3,1,1,1,38298.78,1,5,0,2,6.538461538461538,0.7647058823529411,2946.06,5.0,6,Iterative,93.99,590326.93
71,30,14205039.47,5,4,4,2,5,200070.9785,8,3,0,1,7.1,3.380281690140845,6669.032615023474,0.75,20,SAFe,1978.21,16151267.01
6,10,244123.02,3,4,1,2,3,40687.17,2,4,0,2,2.4,3.3333333333333335,4068.7169999999996,4.0,12,Scrum,51.62,293140.75
35,17,3797466.09,5,2,4,1,4,108499.0311,4,4,1,2,8.235294117647058,1.9428571428571428,6382.295949579831,1.0,10,V-Model,504.58,4561280.65
12,2,48853.76,4,4,2,2,2,4071.1467,4,1,0,3,6.0,0.6666666666666666,2035.5733333333335,0.5,16,RAD,28.55,54336.21
3,9,75579.26,3,5,4,3,1,25193.0867,12,5,0,3,1.6666666666666667,36.0,2799.231851851852,1.25,15,XP,23.49,85561.6
7,5,47800.33,4,3,3,3,2,6828.6186,9,3,0,3,4.2,6.428571428571429,1365.7237142857143,1.0,12,RAD,40.0,59355.2
74,17,8275218.93,2,2,4,1,3,111827.2828,4,3,1,2,13.058823529411764,0.918918918918919,6578.075461049284,0.75,4,SAFe,1250.87,10826961.86
28,20,2916735.88,5,2,1,1,4,104169.1386,1,3,0,2,4.2,0.7142857142857143,5208.456928571429,3.0,10,Waterfall,433.24,1931428.93
16,48,4100702.35,3,2,5,3,3,256293.8969,15,2,1,3,0.6666666666666666,45.0,5339.456184895834,0.4,6,Spiral,1376.15,5044643.31
17,40,3587664.69,5,3,4,1,4,211039.0994,4,2,0,3,0.85,9.411764705882353,5275.977485294117,0.5,15,Waterfall,879.64,3827826.23
25,14,803467.31,5,2,2,3,4,32138.6924,6,2,0,3,3.5714285714285716,3.36,2295.620885714286,1.0,10,Iterative,452.52,915529.49
12,9,572809.05,3,5,2,3,2,47734.0875,6,3,0,1,4.0,4.5,5303.7875,1.5,15,Agile,84.61,684936.11
15,9,602521.52,2,3,1,1,1,40168.1013,1,4,0,3,6.666666666666667,0.6,4463.122370370371,4.0,6,Scrum,77.19,476309.01
17,17,1200925.55,4,1,4,2,4,70642.6794,8,3,0,2,3.0,8.0,4155.451730103807,0.75,4,Waterfall,320.34,1489504.13
79,33,19522550.47,3,3,3,1,3,247120.892,3,1,0,3,2.393939393939394,1.2531645569620253,7488.511879555043,0.3333333333333333,9,SAFe,3719.09,23515048.86
30,19,3591583.4,1,2,5,2,5,119719.4467,10,4,1,3,6.315789473684211,6.333333333333333,6301.023508771929,0.8,2,Spiral,709.23,4113723.58
20,32,3590090.95,5,3,4,2,4,179504.5475,8,1,0,2,0.625,12.8,5609.5171093750005,0.25,15,Waterfall,884.18,4413411.2
74,21,12491314.88,1,2,4,1,4,168801.5524,4,2,0,3,7.0476190476190474,1.135135135135135,8038.1691634491635,0.5,2,SAFe,1888.51,16249758.42
5,6,68866.52,3,2,2,2,4,13773.304,4,3,1,1,2.5,4.8,2295.550666666667,1.5,6,RAD,23.96,85516.68
29,48,8114964.48,1,1,5,3,5,279826.3614,15,1,1,3,0.6041666666666666,24.82758620689655,5829.715862068966,0.2,1,Spiral,2785.09,10742033.6
79,23,17337888.08,2,3,3,3,4,219466.9377,9,2,0,3,6.869565217391305,2.6202531645569622,9542.040770500824,0.6666666666666666,6,SAFe,2461.95,18632640.85
6,9,148299.48,2,4,2,3,4,24716.58,6,3,0,2,2.0,9.0,2746.286666666667,1.5,8,XP,56.17,185476.65
8,5,134974.33,4,5,2,1,3,16871.7912,2,3,1,1,4.8,1.25,3374.3582499999998,1.5,20,XP,30.07,148175.42
26,34,2375411.18,5,2,3,1,1,91361.9685,3,4,1,2,3.0588235294117645,3.923076923076923,2687.116719457014,1.3333333333333333,10,Waterfall,540.19,2471525.09
38,45,13858745.99,4,3,5,3,5,364703.8418,15,1,1,2,0.8444444444444444,17.763157894736842,8104.52981871345,0.2,12,Spiral,2901.28,18685811.51
14,11,586560.1,2,3,3,1,4,41897.15,3,5,1,3,6.363636363636363,2.357142857142857,3808.831818181818,1.6666666666666667,6,Scrum,115.89,742208.24
5,3,21053.16,4,2,4,2,1,4210.632,8,4,0,2,6.666666666666667,4.8,1403.544,1.0,8,RAD,12.78,27972.44
8,10,151372.72,3,4,4,2,2,18921.59,8,3,0,1,2.4,10.0,1892.159,0.75,12,XP,68.19,196874.41
33,31,4637215.11,4,1,4,2,3,140521.67,8,1,1,3,1.064516129032258,7.515151515151516,4532.957096774194,0.25,4,V-Model,1723.8,4518012.74
34,25,4915595.16,5,4,2,2,4,144576.3282,4,3,0,1,4.08,2.9411764705882355,5783.0531294117645,1.5,20,SAFe,756.93,6409971.93
7,12,349343.34,2,3,4,1,2,49906.1914,4,5,0,1,2.9166666666666665,6.857142857142857,4158.849285714286,1.25,6,Scrum,53.1,385524.67
22,35,6126246.52,5,2,5,3,4,278465.7509,15,5,1,1,3.142857142857143,23.863636363636363,7956.1643116883115,1.0,10,Spiral,681.32,8221168.17
33,23,4863702.69,4,4,3,3,3,147384.93,9,2,0,2,2.869565217391304,6.2727272727272725,6408.040434782609,0.6666666666666666,16,SAFe,1137.09,5966506.02
26,19,2310968.26,5,1,2,1,4,88883.3946,2,4,0,3,5.473684210526316,1.4615384615384615,4678.073400809716,2.0,5,Waterfall,371.4,2531739.99
7,5,47465.37,4,4,4,3,2,6780.7671,12,4,1,1,5.6,8.571428571428571,1356.1534285714285,1.0,16,RAD,32.11,47436.43
39,31,6361145.56,4,3,2,2,2,163106.2964,4,1,0,1,1.2580645161290323,3.1794871794871793,5261.493432588916,0.5,12,Waterfall,1119.21,6938286.83
8,6,142490.24,3,4,1,3,3,17811.28,3,2,0,2,2.6666666666666665,2.25,2968.5466666666666,2.0,12,RAD,56.17,185663.51
12,30,1520479.28,4,3,4,1,1,126706.6067,4,3,0,2,1.2,10.0,4223.553555555555,0.75,12,Iterative,283.59,2111862.36
37,23,3372568.93,4,2,3,2,5,91150.5116,6,3,1,2,4.826086956521739,3.72972972972973,3963.065722679201,1.0,8,Spiral,872.58,3504416.4
8,6,65919.72,5,3,2,2,2,8239.965,4,3,0,3,4.0,3.0,1373.3275,1.5,15,RAD,44.73,77272.77
5,8,85069.73,3,4,1,1,2,17013.946,1,4,0,2,2.5,1.6,2126.74325,4.0,12,Scrum,23.09,98339.17
15,22,1578637.38,5,2,4,1,4,105242.492,4,4,0,3,2.727272727272727,5.866666666666666,4783.7496363636365,1.0,10,Waterfall,306.43,2098870.19
37,35,4718856.41,4,1,2,1,3,127536.6597,2,5,0,2,5.285714285714286,1.8918918918918919,3643.9045637065637,2.5,4,Waterfall,809.75,6047294.17
13,12,660653.9,2,4,3,1,4,50819.5308,3,5,0,3,5.416666666666667,2.769230769230769,4234.960897435898,1.6666666666666667,8,Scrum,109.4,785313.49
16,21,983237.17,4,4,3,2,2,61452.3231,6,1,0,1,0.7619047619047619,7.875,2926.3011011904764,0.3333333333333333,16,Agile,356.19,1249610.71
18,21,2127725.88,1,4,4,2,2,118206.9933,8,3,1,2,2.5714285714285716,9.333333333333334,5628.904444444444,0.75,4,Agile,356.67,2852307.07
8,7,227899.15,1,3,1,1,4,28487.3937,1,3,0,1,3.4285714285714284,0.875,4069.6276785714285,3.0,3,Agile,39.15,232497.52
10,13,444939.41,4,4,3,1,4,44493.941,3,4,0,3,3.076923076923077,3.9,3422.610846153846,1.3333333333333333,16,XP,115.16,489664.24
36,37,4721641.22,3,2,4,3,5,131156.7006,12,2,1,3,1.945945945945946,12.333333333333334,3544.7756906906907,0.5,6,Spiral,2247.79,5944689.56
9,28,864206.37,3,3,2,1,3,96022.93,2,3,1,2,0.9642857142857143,6.222222222222222,3429.3903571428573,1.5,9,Iterative,207.55,856372.64
12,24,1004481.32,5,5,1,2,4,83706.7767,2,4,0,1,2.0,4.0,3487.7823611111107,4.0,25,Agile,193.93,1060062.72
19,28,3053412.07,5,2,4,3,4,160705.8984,12,2,1,2,1.3571428571428572,17.68421052631579,5739.496372180451,0.5,10,Spiral,728.36,3350166.72
27,30,4942013.14,4,1,3,2,4,183037.5237,6,1,1,1,0.9,6.666666666666667,6101.250790123457,0.3333333333333333,4,V-Model,1028.43,6630801.16
9,24,1013544.36,5,5,3,2,2,112616.04,6,3,0,1,1.125,16.0,4692.335,1.0,25,Agile,162.87,1342879.47
14,11,690640.65,3,3,2,3,2,49331.475,6,2,0,2,2.5454545454545454,4.714285714285714,4484.679545454545,1.0,9,Iterative,170.01,729086.89
5,12,126617.19,3,3,1,2,2,25323.438,2,4,0,2,1.6666666666666667,4.8,2110.2865,4.0,9,Scrum,40.05,149041.45
34,33,4520390.66,1,1,3,2,5,132952.6665,6,2,1,1,2.0606060606060606,5.823529411764706,4028.8686809269166,0.6666666666666666,1,Spiral,1312.41,5728498.61
15,9,622534.74,3,4,3,3,2,41502.316,9,4,1,1,6.666666666666667,5.4,4611.368444444444,1.3333333333333333,12,Scrum,114.56,637519.58
44,23,8231085.86,3,2,3,2,5,187070.1332,6,1,1,2,1.9130434782608696,3.1363636363636362,8133.4840513834,0.3333333333333333,6,Spiral,1415.59,10576627.98
12,9,232860.5,3,5,1,2,4,19405.0417,2,5,0,3,6.666666666666667,1.5,2156.115740740741,5.0,15,Scrum,73.85,292325.69
26,27,3990830.1,5,2,2,1,2,153493.4654,2,1,0,2,0.9629629629629629,2.076923076923077,5684.943162393162,0.5,10,Waterfall,636.21,5419841.87
11,16,756549.98,5,3,4,1,4,68777.2709,4,3,0,3,2.0625,5.818181818181818,4298.579431818182,0.75,15,Waterfall,190.22,1061123.94
13,8,328485.29,4,4,3,2,4,25268.0992,6,3,0,1,4.875,3.6923076923076925,3158.5124038461536,1.0,16,Scrum,89.71,361188.79
12,9,451590.0,4,4,3,2,3,37632.5,6,5,0,2,6.666666666666667,4.5,4181.388888888889,1.6666666666666667,16,Agile,85.3,558167.05
45,31,7662223.31,5,2,4,2,3,170271.6291,8,1,0,1,1.4516129032258065,5.511111111111111,5492.633197132616,0.25,10,Spiral,1918.62,7958237.06
7,5,155324.91,4,5,1,1,2,22189.2729,1,3,0,1,4.2,0.7142857142857143,4437.854571428572,3.0,20,Scrum,21.22,129988.28
4,3,48001.82,3,3,4,1,2,12000.455,4,3,0,3,4.0,3.0,4000.1516666666666,0.75,9,XP,10.65,64606.08
33,47,5681335.78,5,3,4,2,5,172161.6903,8,2,1,2,1.4042553191489362,11.393939393939394,3663.0146872985174,0.5,15,Spiral,2221.64,6443106.53
21,18,1286742.55,1,3,4,1,4,61273.4548,4,2,0,2,2.3333333333333335,3.4285714285714284,3404.0808201058203,0.5,3,Iterative,398.39,1529415.22
20,14,1288885.46,3,3,1,3,1,64444.273,3,2,0,3,2.857142857142857,2.1,4603.162357142857,2.0,9,Agile,300.89,1617198.48
6,5,109215.15,2,3,4,1,1,18202.525,4,3,0,1,3.6,3.3333333333333335,3640.5049999999997,0.75,6,Scrum,21.57,147322.35
5,8,128043.74,3,4,3,2,1,25608.748,6,3,0,3,1.875,9.6,3201.0935,1.0,12,Scrum,39.47,150409.29
9,8,200876.89,4,5,3,2,3,22319.6544,6,5,0,3,5.625,5.333333333333333,2789.9568055555555,1.6666666666666667,20,Scrum,55.8,233495.0
33,13,2592124.17,5,1,2,1,2,78549.2173,2,2,0,1,5.076923076923077,0.7878787878787878,6042.247482517482,1.0,5,Waterfall,334.09,2808607.62
15,11,547385.2,2,3,2,3,4,36492.3467,6,5,0,3,6.818181818181818,4.4,3317.48606060606,2.5,6,Scrum,141.35,657007.01
12,12,515055.4,2,3,2,1,1,42921.2833,2,3,1,1,3.0,2.0,3576.773611111111,1.5,6,Scrum,89.36,616993.12
6,18,520892.66,4,3,2,2,1,86815.4433,4,5,0,3,1.6666666666666667,12.0,4823.080185185185,2.5,12,Agile,64.63,568609.35
27,27,4586491.93,5,2,4,2,4,169870.0715,8,5,1,1,5.0,8.0,6291.484128943758,1.25,10,Spiral,584.96,4892477.12
5,32,457815.23,5,3,4,3,1,91563.046,12,5,1,2,0.78125,76.8,2861.3451875,1.25,15,Iterative,115.94,524092.88
16,21,1335012.16,3,5,3,2,2,83438.26,6,3,0,1,2.2857142857142856,7.875,3973.250476190476,1.0,15,Agile,261.45,1472166.44
15,41,3128178.11,4,1,3,1,4,208545.2073,3,4,0,1,1.4634146341463414,8.2,5086.468471544716,1.3333333333333333,4,Waterfall,451.32,3565201.5
13,12,857341.93,3,4,3,3,2,65949.3792,9,5,0,3,5.416666666666667,8.307692307692308,5495.781602564103,1.6666666666666667,12,Agile,124.0,1086696.7
39,32,11677720.94,5,3,4,2,5,299428.7421,8,4,1,3,4.875,6.564102564102564,9357.148189102563,1.0,15,SAFe,1412.39,14785848.78
76,19,6599752.89,3,3,4,3,5,86838.8538,12,4,0,3,16.0,3.0,4570.465990304709,1.0,9,SAFe,1787.44,8600723.15
14,12,552266.33,3,4,3,1,4,39447.595,3,4,0,1,4.666666666666667,2.5714285714285716,3287.299583333333,1.3333333333333333,12,Scrum,112.87,677168.31
11,38,2396593.32,5,1,4,2,5,217872.12,8,1,0,3,0.2894736842105263,27.636363636363637,5733.476842105263,0.25,5,V-Model,702.68,2941112.41
22,36,3125119.78,4,3,4,2,3,142050.8991,8,1,0,3,0.6111111111111112,13.090909090909092,3945.858308080808,0.25,12,Waterfall,1376.94,4068100.42
19,20,2382382.09,4,3,3,2,3,125388.5311,6,4,0,2,3.8,6.315789473684211,6269.4265526315785,1.3333333333333333,12,V-Model,353.57,2742004.77
80,36,1523038.6,3,2,3,2,4,19037.9825,6,4,0,3,8.88888888888889,3.6,520.8333333333334,1.0,9,SAFe,3060.29,51642393.75
6,14,235866.88,2,3,2,3,4,39311.1467,6,4,0,2,1.7142857142857142,14.0,2807.939047619048,2.0,6,XP,79.37,274302.73
57,36,15708769.85,4,4,4,2,3,275592.4535,8,3,0,3,4.75,5.052631578947368,7655.34593079922,0.75,16,SAFe,2762.31,16009128.42
29,37,4006772.2,4,3,3,2,3,138164.5586,6,5,1,1,3.918918918918919,7.655172413793103,3734.1772600186396,1.6666666666666667,12,Spiral,798.4,5009799.16
12,10,256468.68,3,4,1,2,4,21372.39,2,4,0,3,4.8,1.6666666666666667,2137.239,4.0,12,Scrum,107.5,300154.03
16,12,1059578.38,5,5,4,1,1,66223.6487,4,4,1,2,5.333333333333333,3.0,5518.637395833332,1.0,25,Agile,122.57,1147753.42
10,18,956319.75,2,4,3,1,1,95631.975,3,1,0,1,0.5555555555555556,5.4,5312.8875,0.3333333333333333,8,Agile,145.46,926921.79
17,27,3329405.21,3,1,5,3,3,195847.3653,15,1,0,2,0.6296296296296297,23.823529411764707,7253.6061220043575,0.2,3,Spiral,929.95,3825715.73
9,21,532844.2,3,3,3,3,2,59204.9111,9,2,0,1,0.8571428571428571,21.0,2819.281481481481,0.6666666666666666,9,Agile,198.81,581729.08
14,21,1501478.53,3,2,3,2,3,107248.4664,6,1,1,2,0.6666666666666666,9.0,5107.069829931973,0.3333333333333333,6,Spiral,402.66,1557635.06
7,4,56996.46,2,4,1,2,2,8142.3514,2,5,1,1,8.75,1.1428571428571428,2035.587857142857,5.0,8,RAD,14.0,71860.44
16,10,303465.84,3,3,4,1,3,18966.615,4,1,0,1,1.6,2.5,1896.6615000000002,0.25,9,Iterative,192.73,370707.85
36,16,3697597.14,2,2,2,2,5,102711.0317,4,3,0,2,6.75,1.7777777777777777,6419.439479166667,1.5,4,SAFe,527.18,4372794.28
40,16,2434557.48,5,3,4,2,4,60863.937,8,3,0,1,7.5,3.2,3803.9960625,0.75,15,Waterfall,562.55,2531684.79
24,48,4554973.0,5,3,4,2,1,189790.5417,8,4,0,3,2.0,16.0,3953.9696180555557,1.0,15,Waterfall,946.66,5343799.95
10,3,70010.63,4,3,4,2,4,7001.063,8,5,0,3,16.666666666666668,2.4,2333.6876666666667,1.25,12,RAD,26.43,83014.87
32,16,4403923.77,2,4,4,3,4,137622.6178,12,3,0,3,6.0,6.0,8601.41361328125,0.75,8,SAFe,648.84,5339647.18
6,4,63453.71,1,4,2,3,4,10575.6183,6,3,0,1,4.5,4.0,2643.9045833333334,1.5,4,RAD,20.66,81119.65
8,6,112674.03,2,5,3,3,4,14084.2537,9,4,0,1,5.333333333333333,6.75,2347.375625,1.3333333333333333,10,Kanban,45.11,142657.35
10,5,207422.45,3,3,2,1,4,20742.245,2,5,0,2,10.0,1.0,4148.4490000000005,2.5,9,Scrum,29.66,251292.63
40,19,4706316.0,5,1,3,2,1,117657.9,6,2,0,3,4.2105263157894735,2.85,6192.521052631579,0.6666666666666666,5,Waterfall,811.79,6099352.85
5,8,167669.54,4,5,4,3,1,33533.908,12,5,0,3,3.125,19.2,4191.7385,1.25,20,Scrum,34.92,203066.78
33,41,5039174.44,5,1,3,2,5,152702.2558,6,3,0,1,2.4146341463414633,7.454545454545454,3724.445262379897,1.0,5,V-Model,1315.74,5846673.39
15,15,938194.09,4,5,1,1,3,62546.2727,1,3,0,1,3.0,1.0,4169.751511111111,3.0,20,Agile,163.66,990953.09
11,15,466877.93,3,2,3,3,4,42443.4482,9,2,0,3,1.4666666666666666,12.272727272727273,2829.563212121212,0.6666666666666666,6,Iterative,250.5,568192.15
15,29,2280312.91,1,2,5,2,4,152020.8607,10,3,0,2,1.5517241379310345,19.333333333333332,5242.098643678161,0.6,2,Spiral,533.28,2794978.19
15,6,376479.29,3,3,2,1,3,25098.6193,2,4,0,3,10.0,0.8,4183.103222222222,2.0,9,Scrum,73.86,479779.11
14,7,522990.62,3,5,1,1,1,37356.4729,1,3,0,1,6.0,0.5,5336.638979591837,3.0,15,Agile,51.74,318703.03
19,22,2853596.35,5,2,3,2,5,150189.2816,6,4,1,1,3.4545454545454546,6.947368421052632,6826.78552631579,1.3333333333333333,10,V-Model,369.03,3351938.72
13,36,1648181.1,4,2,3,2,1,126783.1615,6,3,0,2,1.0833333333333333,16.615384615384617,3521.7544871794876,1.0,8,Waterfall,361.78,1761445.13
12,36,2599899.08,4,2,3,1,4,216658.2567,3,4,0,1,1.3333333333333333,9.0,6018.284907407407,1.3333333333333333,8,Waterfall,282.59,2782084.22
24,42,3089598.19,4,1,1,2,2,128733.2579,2,4,0,1,2.2857142857142856,3.5,3065.077569444444,4.0,4,Waterfall,570.47,2964663.78
20,36,5256846.72,5,2,3,1,5,262842.336,3,1,1,3,0.5555555555555556,5.4,7301.1759999999995,0.3333333333333333,10,V-Model,1107.04,6564482.92
17,9,457104.9,4,3,4,3,4,26888.5235,12,3,0,3,5.666666666666667,6.352941176470588,2987.6137254901964,0.75,12,Agile,232.43,684006.05
21,43,3132342.59,1,2,4,2,4,149159.171,8,2,1,1,0.9767441860465116,16.38095238095238,3468.817929125138,0.5,2,Spiral,1006.76,3724684.34
2,8,36787.47,2,3,3,2,2,18393.735,6,4,0,2,1.0,24.0,2299.216875,1.3333333333333333,6,Kanban,13.01,42689.42
27,46,4482698.61,5,1,4,3,4,166025.8744,12,4,1,3,2.347826086956522,20.444444444444443,3609.2581400966187,1.0,5,Spiral,1516.88,4908586.27
10,5,177160.92,2,3,3,3,2,17716.092,9,3,0,2,6.0,4.5,3543.2184,1.0,6,Scrum,47.9,202710.89
40,27,8971827.82,4,3,4,1,3,224295.6955,4,1,0,2,1.4814814814814814,2.7,8307.247981481481,0.25,12,SAFe,1541.65,9808165.84
9,14,267018.1,4,4,3,2,3,29668.6778,6,4,0,1,2.5714285714285716,9.333333333333334,2119.19126984127,1.3333333333333333,16,XP,106.37,311256.89
5,2,23893.64,3,2,1,2,4,4778.728,2,2,0,2,5.0,0.8,2389.364,2.0,6,RAD,10.95,32463.26
10,22,738885.65,3,5,1,1,2,73888.565,1,3,1,1,1.3636363636363635,2.2,3358.5711363636365,3.0,15,Agile,141.61,987169.91
16,29,3752857.02,4,1,5,3,4,234553.5638,15,1,0,3,0.5517241379310345,27.1875,8088.053922413793,0.2,4,Spiral,942.85,4230008.0
8,6,143036.78,4,3,3,3,1,17879.5975,9,4,0,3,5.333333333333333,6.75,2979.9329166666666,1.3333333333333333,12,RAD,41.62,163521.3
74,16,8742897.28,5,2,3,3,3,118147.2605,9,1,0,2,4.625,1.945945945945946,7384.203783783783,0.3333333333333333,10,SAFe,1869.37,8342104.33
